"Simons, Anfernee",97,-0.12,"Simons, Anfernee",POR,23,62,35.0,21.1,3.42,.377,2.6,4.1,0.68,0.23,.447,16.9,.894,2.9,2.1,2.3,0.63,1.66,-1.34,0.06,-0.76,-0.82,-1.11,0.73,-0.16
"Washington, PJ",98,-0.12,"Washington, PJ",CHA,24,73,32.6,15.7,2.04,.347,4.9,2.4,0.90,1.08,.443,13.4,.730,2.4,1.5,2.6,-0.19,0.38,-0.39,-0.69,-0.18,0.86,-0.95,-0.46,0.51
"Rozier, Terry",99,-0.13,"Rozier, Terry",CHA,28,63,35.3,21.1,2.62,.325,4.1,5.1,1.19,0.25,.415,18.9,.809,3.5,2.1,1.9,0.64,0.92,-0.72,0.49,0.55,-0.76,-2.09,0.08,-0.24
"Jones, Tre",100,-0.13,"Jones, Tre",SAS,22,68,29.2,12.9,0.66,.285,3.6,6.6,1.31,0.15,.459,10.9,.860,2.5,1.6,1.4,-0.62,-0.89,-0.92,1.18,0.85,-0.97,-0.54,0.41,0.37
"Green, Draymond",101,-0.13,"Green, Draymond",GSW,32,73,31.5,8.5,0.55,.305,7.2,6.8,1.00,0.82,.527,6.5,.713,1.5,2.8,3.1,-1.29,-1.00,0.55,1.29,0.06,0.35,0.29,-0.36,-1.04
"Oubre, Kelly",102,-0.13,"Oubre, Kelly",CHA,27,48,32.2,20.3,2.25,.319,5.2,1.1,1.40,0.38,.432,17.0,.760,4.3,1.3,2.9,0.51,0.58,-0.28,-1.25,1.07,-0.53,-1.49,-0.48,0.72
"Caldwell-Pope, Kentavious",103,-0.13,"Caldwell-Pope, Kentavious",DEN,29,76,31.3,10.8,1.78,.423,2.8,2.4,1.47,0.46,.462,8.3,.824,1.6,1.1,1.9,-0.93,0.14,-1.28,-0.68,1.26,-0.36,-0.38,0.10,0.96
"Collins, John",104,-0.14,"Collins, John",ATL,25,72,29.9,13.1,0.99,.291,6.5,1.2,0.58,1.01,.508,9.9,.796,2.5,1.1,3.1,-0.59,-0.59,0.25,-1.21,-0.99,0.72,0.18,-0.04,1.00
"Carter, Wendell",105,-0.15,"Carter, Wendell",ORL,24,57,29.6,15.2,1.40,.354,8.7,2.3,0.53,0.58,.525,10.8,.738,3.4,1.9,2.8,-0.26,-0.21,1.18,-0.72,-1.14,-0.13,0.46,-0.58,0.08
"Brogdon, Malcolm",106,-0.15,"Brogdon, Malcolm",BOS,30,67,26.0,14.9,1.97,.444,4.2,3.7,0.67,0.27,.484,10.9,.870,2.7,1.4,1.6,-0.30,0.32,-0.69,-0.11,-0.77,-0.73,-0.17,0.51,0.58
"Bogdanovic, Bojan",107,-0.15,"Bogdanovic, Bojan",DET,33,59,32.1,21.6,2.46,.411,3.8,2.6,0.58,0.14,.488,14.9,.884,5.1,2.3,1.9,0.71,0.77,-0.86,-0.61,-1.01,-1.00,-0.13,1.17,-0.43
"Giddey, Josh",108,-0.15,"Giddey, Josh",OKC,20,77,31.3,16.8,1.03,.328,7.9,6.2,0.74,0.40,.482,14.8,.737,2.0,2.8,1.9,-0.02,-0.56,0.84,1.01,-0.60,-0.47,-0.24,-0.35,-0.99
